iter	MAPE	RMSE
0	2.42217101	9.845918207
1	2.341004271	9.567421257
2	2.269128645	9.292246441
3	2.192424999	8.976842338
4	2.125638244	8.690550854
5	2.054941362	8.383003264
6	1.994274246	8.116336417
7	1.942462901	7.905255502
8	1.888794986	7.659462653
9	1.828439449	7.403367474
10	1.770251048	7.158901779
11	1.7162526	6.939364131
12	1.661636747	6.705155657
13	1.605990857	6.519763199
14	1.555531707	6.304535377
15	1.511137409	6.114277335
16	1.46744817	5.940408463
17	1.420988357	5.770002863
18	1.382155304	5.616260209
19	1.338648079	5.440054557
20	1.301978656	5.297772415
21	1.271146115	5.161451262
22	1.235017532	5.02805969
23	1.196959396	4.880203557
24	1.160213071	4.749055982
25	1.133160309	4.669037161
26	1.103657718	4.552603089
27	1.075064731	4.46376924
28	1.050705502	4.357728902
29	1.020420998	4.251579252
30	0.9974085965	4.154437853
31	0.9721444232	4.045404775
32	0.9488347046	3.953052663
33	0.9262391757	3.857443692
34	0.905358171	3.787635785
35	0.8839297326	3.693374062
36	0.8644714069	3.610196271
37	0.8431989985	3.540628635
38	0.8265106068	3.459836736
39	0.8108370399	3.387111328
40	0.7921386103	3.330658693
41	0.7790211034	3.260647678
42	0.7636307259	3.197018199
43	0.749831273	3.13598034
44	0.734295563	3.061275594
45	0.7161048284	2.995056127
46	0.7069624643	2.951130391
47	0.6912575359	2.891012789
48	0.6798839496	2.851456609
49	0.6656362868	2.801589546
50	0.6559626824	2.754817862
51	0.643854418	2.69377886
52	0.6381858765	2.660821204
53	0.6283287635	2.62010304
54	0.6193406258	2.586422463
55	0.6072013512	2.534058735
56	0.5957760289	2.484382019
57	0.5861125032	2.440323835
58	0.5754271206	2.396774412
59	0.5653503244	2.355704683
60	0.5570789776	2.324390804
61	0.5518665834	2.297464137
62	0.5430457933	2.257648515
63	0.5327650835	2.21735915
64	0.5270075816	2.190794242
65	0.5202471406	2.15803351
66	0.5118419352	2.121953621
67	0.5074452661	2.099643865
68	0.498393966	2.065858406
69	0.4896689112	2.041992927
70	0.4816264322	2.02446636
71	0.4737820955	1.99762263
72	0.4673748792	1.968922553
73	0.4607379769	1.942343961
74	0.4560057369	1.921322973
75	0.4516086576	1.884940055
76	0.4419602429	1.857476861
77	0.4374320347	1.831210254
78	0.4319679006	1.814865033
79	0.4232665852	1.789957724
80	0.4181992043	1.769934761
81	0.4130895603	1.736851368
82	0.4087486113	1.718115284
83	0.4034818461	1.688914278
84	0.3973165676	1.674905238
85	0.3922132533	1.658008399
86	0.38815313	1.641489862
87	0.3827818024	1.626154933
88	0.378780381	1.619934632
89	0.3750924041	1.613049732
90	0.3708453932	1.592364827
91	0.3669354956	1.57788054
92	0.3634153179	1.561610237
93	0.3586517135	1.535608644
94	0.355410242	1.513212128
95	0.3517403581	1.500907652
96	0.3474922433	1.49037248
97	0.3429657903	1.478263183
98	0.3409883516	1.467353684
99	0.3376557852	1.450804045
100	0.3334629648	1.438964582
101	0.3308036816	1.419310954
102	0.326626315	1.402653681
103	0.3245625556	1.392941093
104	0.3222011213	1.375881177
105	0.3179583267	1.361316262
106	0.3173591714	1.345472822
107	0.3148485039	1.325466946
108	0.311157791	1.310209017
109	0.3095331677	1.304389604
110	0.3069017596	1.284884653
111	0.3051322445	1.279790048
112	0.3031052907	1.264513189
113	0.2987557806	1.25801997
114	0.2987180816	1.2526856
115	0.2959944453	1.239457641
116	0.2930032156	1.226276048
117	0.2916002039	1.21806781
118	0.2904894358	1.211171829
119	0.2879204931	1.203888436
120	0.2848117397	1.195317778
121	0.2837054949	1.18984845
122	0.2821167724	1.179356522
123	0.2809256953	1.17183211
124	0.2793234104	1.156629496
125	0.2777363925	1.150570819
126	0.2765467946	1.143447559
127	0.2746809896	1.131464979
128	0.2730021671	1.123118377
129	0.2726890646	1.110964797
130	0.2712605164	1.107062931
131	0.2702113337	1.100152174
132	0.2691828559	1.093193625
133	0.2678124009	1.082352629
