iter	Passed	Remaining
0	3	3132
1	5	2843
2	8	2902
3	11	2916
4	14	2840
5	16	2792
6	19	2813
7	22	2823
8	25	2796
9	28	2797
10	31	2829
11	34	2821
12	37	2810
13	39	2788
14	42	2771
15	45	2771
16	47	2759
17	50	2744
18	53	2740
19	55	2730
20	58	2724
21	61	2717
22	63	2715
23	66	2710
24	69	2704
25	72	2699
26	74	2694
27	78	2716
28	80	2704
29	84	2717
30	86	2714
31	89	2707
32	92	2706
33	94	2692
34	97	2686
35	100	2683
36	103	2683
37	105	2681
38	108	2684
39	111	2680
40	114	2683
41	117	2682
42	120	2678
43	123	2672
44	125	2672
45	128	2667
46	131	2661
47	133	2656
48	136	2653
49	139	2646
50	142	2646
51	145	2650
52	148	2648
53	151	2647
54	154	2648
55	156	2639
56	159	2635
57	161	2628
58	164	2625
59	167	2623
60	170	2622
61	173	2622
62	175	2617
63	178	2616
64	181	2614
65	184	2617
66	187	2614
67	191	2621
68	194	2619
69	196	2614
70	200	2616
71	202	2611
72	205	2605
73	208	2602
74	211	2605
75	215	2615
76	218	2620
77	221	2617
78	225	2634
79	229	2635
80	232	2634
81	235	2634
82	238	2637
83	241	2638
84	245	2639
85	247	2634
86	250	2630
87	253	2630
88	257	2632
89	260	2631
90	263	2627
91	266	2628
92	269	2623
93	272	2622
94	274	2615
95	277	2614
96	280	2611
97	283	2607
98	285	2602
99	288	2598
100	291	2596
101	294	2591
102	297	2590
103	300	2590
104	303	2586
105	306	2585
106	309	2580
107	312	2577
108	314	2574
109	318	2575
110	320	2570
111	323	2567
112	326	2562
113	329	2558
114	332	2556
115	335	2555
116	338	2554
117	341	2551
118	344	2549
119	347	2548
120	351	2550
121	354	2548
122	357	2549
123	361	2551
124	363	2545
125	366	2543
126	369	2538
127	371	2533
128	375	2532
129	378	2531
130	381	2529
131	385	2532
132	388	2529
133	391	2527
134	395	2531
135	398	2530
136	402	2533
137	406	2538
138	410	2542
139	413	2541
140	417	2542
141	421	2544
142	424	2542
143	427	2542
144	430	2540
145	434	2539
146	438	2544
147	442	2547
148	446	2551
149	452	2563
150	457	2570
151	460	2569
152	464	2572
153	468	2576
154	472	2575
155	476	2577
156	479	2576
157	483	2578
158	488	2581
159	492	2584
160	495	2583
161	499	2584
162	503	2583
163	506	2581
164	510	2581
165	513	2580
166	517	2580
167	521	2583
168	525	2583
169	529	2585
170	533	2584
171	537	2585
172	540	2585
173	546	2595
174	551	2601
175	556	2605
176	560	2606
177	569	2628
178	572	2626
179	576	2624
180	579	2621
181	582	2618
182	586	2619
183	590	2616
184	593	2615
185	597	2613
186	601	2615
187	605	2613
188	608	2612
189	612	2611
190	615	2608
191	619	2608
192	623	2605
193	627	2605
194	630	2602
195	634	2603
196	637	2600
197	641	2597
198	645	2596
199	648	2595
200	652	2595
201	657	2597
202	660	2594
203	664	2591
204	667	2588
205	671	2589
206	676	2590
207	680	2590
208	685	2592
209	688	2590
210	692	2588
211	696	2588
212	701	2590
213	704	2587
214	708	2585
215	711	2582
216	715	2580
217	717	2575
218	721	2573
219	725	2573
220	729	2572
221	733	2570
222	737	2569
223	741	2567
224	745	2567
225	749	2566
226	753	2566
227	758	2567
228	761	2565
229	765	2562
230	769	2561
231	774	2563
232	777	2560
233	781	2558
234	785	2556
235	789	2556
236	792	2552
237	796	2549
238	800	2549
239	805	2550
240	809	2549
