,district,CRIME_YEAR,CRIME_QUARTER,CRIME_MONTH,avg_quantity_crime_in_dist,cameras_in_district,R_avg_education_collegeor_above,G_avg_education_collegeor_above,B_avg_education_collegeor_above,warmth_education_collegeor_above,R_avg_family_size,G_avg_family_size,B_avg_family_size,warmth_family_size,R_avg_home_value,G_avg_home_value,B_avg_home_value,warmth_home_value,R_avg_income_household_med,G_avg_income_household_med,B_avg_income_household_med,warmth_income_household_med,R_avg_race_black,G_avg_race_black,B_avg_race_black,warmth_race_black,R_avg_race_white,G_avg_race_white,B_avg_race_white,warmth_race_white,brightness_avg,dark_pixel_ratio,mean_white,mean_black,mean_hispanic,mean_amer_indian,mean_asian,pct_age_18_24,pct_age_25_44,pct_age_45_64,pct_age_18,pct_age_65_plus,mean_M,mean_F,mean_U,pct_petit_larceny,pct_harrassment_2,pct_assault_3_related_offenses,pct_grand_larceny,pct_vehicle_and_traffic_laws,pct_felony_assault,pct_miscellaneous_penal_law,pct_dangerous_drugs,pct_other_offenses_related_to_theft,pct_grand_larceny_of_motor_vehicle,pct_robbery,pct_burglary,pct_sex_crimes,avg_quantity_crime_in_dist_lag1,avg_quantity_crime_in_dist_lag2,avg_quantity_crime_in_dist_lag0,pct_change_between_crime_months,mean_M_lag1,mean_F_lag1,mean_U_lag1,mean_M_diff,mean_F_diff,mean_U_diff,mean_white_lag2,mean_black_lag2,pct_age_18_24_lag1,pct_age_18_24_lag2,pct_age_45_64_lag1,pct_age_45_64_lag2,pct_age_18_lag1,pct_age_18_lag2,warmth_education_collegeor_above_lag1,warmth_family_size_lag1,warmth_race_white_lag1,warmth_income_household_med_lag1,warmth_home_value_lag1,avg_quantity_crime_in_dist_increased,mean_M_increased,mean_F_increased,brightness_avg_lag1,brightness_avg_lag2,pct_petit_larceny_lag1,pct_petit_larceny_lag2,pct_grand_larceny_lag1,pct_grand_larceny_lag2,pct_burglary_lag2,pct_sex_crimes_lag1,pct_sex_crimes_lag2,pct_robbery_lag1,pct_robbery_lag2,pct_assault_3_related_offenses_lag1,pct_assault_3_related_offenses_lag2,pct_felony_assault_lag1,pct_felony_assault_lag2,pct_vehicle_and_traffic_laws_lag1,pct_vehicle_and_traffic_laws_lag2,white_crime_ratio,male_female_ratio,youth_crime_ratio,brightness_growth,crime_vs_brightness_change,crime_decline,quantity_crime_pct_change
district,1.0,0.3029848967088525,0.0,0.0,0.1761402871256612,0.7821606658267547,0.7227398734885919,0.764401804049544,0.7490701127033863,0.7762597575131243,0.7284822954113255,0.6954750080197277,0.5513184334968962,0.6939359135160053,0.7407401285259042,0.670579595593285,0.7853112196278849,0.860249504248845,0.7070657674142325,0.7764008688353523,0.7044741753998999,0.7067215798091623,0.7246014607417762,0.5616381861706875,0.6657239551494489,0.682198378431701,0.7289212307145326,0.7520551405773389,0.7528334027007695,0.8784732203867038,0.49901989179311557,0.8717898061374396,0.3538725911926587,0.32133856849818304,0.33859669555349753,0.1509251016917378,0.4874835835943756,0.008993723660992404,0.03750371526696088,0.0,0.17164618576940563,0.06610104619646083,0.0,0.1387708279823778,0.13239104298806176,0.10579511205622838,0.09226257831918755,0.0,0.21389896560630905,0.033473004765778004,0.0,0.0,0.0,0.22453536157049422,0.12819396175440737,0.09985096793228163,0.0,0.0,0.25707852328624076,0.3120697803736295,0.17613964824937495,0.0,0.11164059811305964,0.042823001971057505,0.13914873011790665,0.0,0.23019259751916984,0.025178437176072807,0.39892793257985587,0.30929844861963623,0.06031961535347749,0.15450278086007327,0.0,0.0,0.2039552225329349,0.2346132736030312,0.7762741380824463,0.6938923093801708,0.878473229822997,0.7067397207287469,0.8602499227598445,0.0,0.0,0.0,0.4990217557209315,0.4927577228850409,0.3228701139805306,0.19236452380378993,0.23012367000596212,0.22106418867318797,0.1566261154369695,0.09454882495113283,0.10907384686563848,0.0,0.0,0.0,0.0,0.012230852551979907,0.03693145746157802,0.05104183081938011,0.05315534069789966,0.38198763566247856,0.15267237443215131,0.1308981966384607,0.12905424143697047,0.0,0.0,0.0872196641725991
CRIME_YEAR,0.3029848967088525,1.0,0.05737483049048788,0.07496387632687238,0.47458357406876894,0.4139165734201551,0.5303341835421332,0.5084640876275227,0.5085811457891077,0.4553392388032425,0.4527691001584611,0.3628433758766321,0.4247060410935128,0.2942313788381448,0.2700226794913815,0.4660592447587541,0.3786939943594541,0.31978799743606995,0.5389071747472022,0.3454478164933994,0.307094890749564,0.25588518098828483,0.41627424303754823,0.16185511116365053,0.29717920605150977,0.4583444249322307,0.2880727011893642,0.3543598228250863,0.1937497749873259,0.28476435038097286,0.31622830822355097,0.2935865714967987,0.14567936264875145,0.17423384783103685,0.18287818811611306,0.0,0.0,0.0,0.30448005751098056,0.07293426584330498,0.0,0.0,0.3304058425749245,0.09401071774248,0.2994956931546243,0.2389230384247059,0.10883533480076858,0.0,0.23014142953565495,0.0,0.0,0.0,0.0,0.0,0.06280766638477725,0.0,0.0,0.0,0.4620841496382926,0.37036708758125153,0.4745831407446174,0.3447993382329467,0.29899977400519434,0.09555905756679525,0.2406714206436255,0.3329160583066966,0.3563695991014001,0.33000156585181506,0.05529131065112122,0.09921222338469174,0.03165913990949697,0.11402426093845491,0.08698168163794516,0.04312801070402705,0.0,0.0,0.45533899213234275,0.2942314949486107,0.28476438404405435,0.25588528601743005,0.31978842008359554,0.1994187718517878,0.07918666250358476,0.07947300266676868,0.3162292669224008,0.2977131939074938,0.2309802636514402,0.1378304358960362,0.15094747255462662,0.03839999079086183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002132051724056,0.0,0.0,0.20138108253570736,0.37592931251524,0.0,0.0,0.27441348774080004,0.3189741278413859,0.34151096158293
CRIME_QUARTER,0.0,0.05737483049048788,1.0,1.0,0.7063179910658514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35583747518865494,0.32453681819789193,0.3382754611225176,0.0,0.4380197974624531,0.16376595332273566,0.3975275720411293,0.49444406891454756,0.2389245120550887,0.0,0.39512188109576,0.39860094636306553,0.35993083699241146,0.4516761199490086,0.37130051294128846,0.2458424443681946,0.357445246477299,0.2334512286708619,0.4203797843361471,0.15724226821803808,0.0,0.10168801902589562,0.32663172264780616,0.1022669044582489,0.2608868643648933,0.28653370439809706,0.5246730489116799,0.40999711100058894,0.7063251850005214,0.4042847947946506,0.31876490852798317,0.2840430018521198,0.22347977549070158,0.20391299362385523,0.27210159121464605,0.24102591492010123,0.15784095047946614,0.11826279711295005,0.11994300450710867,0.13366687174620057,0.21858007814048291,0.10953707907368067,0.19589065045126533,0.11259573753545538,0.0,0.0,0.0,0.0,0.0,0.4750727014434875,0.0,0.1784593111585588,0.0,0.0,0.42548121022533747,0.22306960063313358,0.2694141124461461,0.1660166905418321,0.0,0.17018182434123763,0.12399310627301191,0.0372834569690346,0.053737029030051044,0.11240254688911473,0.25248230818687606,0.09147946777394537,0.20308012018097382,0.18064132436500585,0.18845627375245266,0.38131723026086706,0.37310527584145614,0.25531133303622977,0.081751314896623,0.45962304796150383,0.4844556707433541,0.669570383058091
CRIME_MONTH,0.0,0.07496387632687238,1.0,1.0,0.5134625362649595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34427246081625695,0.23713625282328749,0.28887649742751126,0.0,0.26365507694931883,0.27903247436454187,0.42033698738702424,0.3669713475134032,0.18458485554186158,0.0,0.4321978171678408,0.34111977475635075,0.3303343204747826,0.4704087918191378,0.31667630186231066,0.39542506947233863,0.37508308649237326,0.14659653342600903,0.3253829414582129,0.039090241373047396,0.0,0.0,0.2659141613140394,0.05402358764621906,0.18249835881233475,0.2847074720521908,0.3975510555312438,0.30793846014950604,0.5135281171382128,0.5112330145737974,0.3676626078046702,0.20135316794740435,0.1160283492135124,0.28179223219917227,0.3008450366506725,0.3101379381778517,0.0,0.13172829660394872,0.2040683419928716,0.24092595310318582,0.16534211358668147,0.19741670036858286,0.1940430949744884,0.025978280155938293,0.0,0.0,0.0,0.0,0.0,0.43156339523571935,0.11496567970753356,0.09881413008817705,0.0,0.0,0.2464194161027504,0.19485171223205003,0.2876139644231652,0.1656542698154817,0.0,0.1500716331708614,0.07879210860181869,0.0,0.0,0.25164417152364926,0.2144520738551909,0.10237210430164166,0.1868792153725558,0.22906821153408027,0.14651584902686393,0.36906629203234476,0.41022047798716677,0.25437137739985255,0.0,0.48460968231241897,0.5375822278868073,0.6796162904503279
avg_quantity_crime_in_dist,0.1761402871256612,0.47458357406876894,0.7063179910658514,0.5134625362649595,1.0,0.13471760849417597,0.0,0.11025498990177741,0.0,0.0,0.038974327864394344,0.10588916548125894,0.01069431676884525,0.0,0.17147598475386053,0.0,0.0,0.17913589256572168,0.1438977581357249,0.0832783837250628,0.05639385915464551,0.0,0.06532924180040339,0.05065374548997391,0.0,0.0,0.1068043597146664,0.0,0.0,0.16874565172704353,0.0,0.0,0.6533796391340572,0.6181897745725866,0.6882634370761845,0.17546213854872686,0.6949744785768095,0.4749590220304397,0.6357773122465883,0.8145431679513245,0.3045482916761828,0.14939878465168105,0.6967005168923337,0.662829414063597,0.7014356192867637,0.6673740611240204,0.6507600874533838,0.529244138923304,0.6922941046732908,0.07345510525471051,0.7509500070230991,0.3594316785319165,0.1535731211760558,0.19680642560033224,0.362977580652727,0.25723481152594424,0.34220128284589024,0.5570933442664325,0.6051145090244349,0.4588331425595887,1.0,0.4975010344609372,0.36275959112693407,0.4451443211517738,0.2757292604848923,0.38270631381393366,0.4962680441186689,0.4338377278470003,0.24965616937808285,0.23757789203921387,0.14406373638476133,0.0,0.32553551545655307,0.24806901482591784,0.0,0.08876756851891815,0.0,0.0,0.16874543932202893,0.0,0.17913609768176136,0.8299118849304205,0.21470732175281176,0.40748727391829015,0.0,0.0,0.4522709837546881,0.3106955108909776,0.3834338353238259,0.3004191656742205,0.09777148973296322,0.28675683141949626,0.20595567491648767,0.1274743150675039,0.0,0.2555538000563075,0.271061193462913,0.24756365421324802,0.0,0.0,0.0,0.6791900177777482,0.6053499397221918,0.5498219460489476,0.18610684274686415,0.691886694901315,0.6786473656854636,0.5757249058873901
cameras_in_district,0.7821606658267547,0.4139165734201551,0.0,0.0,0.13471760849417597,1.0,0.8793307373045114,0.872565823510684,0.8811937991812527,0.8739658824272005,0.9009330605968383,0.8922234378596995,0.8881339847332448,0.7265507833207365,0.8527205828179152,0.8791403406415305,0.8824587676567562,0.7824138218224335,0.8863626832447441,0.8692423751806052,0.9024517255551915,0.7565345558805076,0.888941322501107,0.7363878139254406,0.759622059326882,0.854218973810038,0.748891628622593,0.7501850230410292,0.8802290697467596,0.7288820642821515,0.7122785443122719,0.7117376998687676,0.3129863117222856,0.2901978285757235,0.25733105891060504,0.2317043024986698,0.1287406871502231,0.0,0.2250058594487297,0.11895160781388253,0.0,0.0,0.11549092320984973,0.0,0.1476069981079717,0.19848924634775772,0.10713939704807617,0.08228465106218535,0.22373148448640473,0.10510292074069821,0.0,0.1452154499409685,0.0,0.17217926040993192,0.047739540546932524,0.1363491454144575,0.07838383488066952,0.0,0.10165646293174029,0.1713842691194779,0.13470612495922019,0.1026380462563665,0.19669031903816825,0.0,0.1631756860277217,0.22156571524180707,0.15360397069869938,0.0,0.2310143280881265,0.29093528434026583,0.0,0.0,0.10543207397688238,0.19832640532956697,0.0,0.0,0.873965302610552,0.7266464663143155,0.7288349495037251,0.756501464234203,0.7825068054478388,0.0,0.0,0.0,0.7122246784718997,0.7119700183028093,0.26764918417801525,0.19354621327556112,0.23267422724877104,0.19159098484599044,0.0,0.0,0.0,0.25966254627242624,0.22989453684364342,0.0,0.0,0.13602954794501074,0.1378759252792558,0.12683446169350798,0.12744541305941445,0.20407769556283273,0.0978525218269432,0.0,0.10325875033674752,0.0,0.0,0.050351713232248414
R_avg_education_collegeor_above,0.7227398734885919,0.5303341835421332,0.0,0.0,0.0,0.8793307373045114,1.0,0.906814593219412,0.9124743037121706,0.9380129685738341,0.9053624711418404,0.8973241292327698,0.9403297113715122,0.8449024545508983,0.8613309599988999,0.9029573943194442,0.9017067667983844,0.8451045543365429,0.962624436541511,0.8836207495443287,0.8920778092539701,0.8446843510320134,0.9011539120135709,0.7903875996444495,0.8342208657256232,0.9336386580024205,0.7976725716327956,0.8616899412839217,0.9151366353190348,0.8638034565232035,0.7831775208844527,0.7005379671603111,0.4642941481634407,0.21109103568811027,0.21813666310683708,0.23404847605066675,0.16969104224460244,0.0,0.0,0.0,0.0,0.16913818500800268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11195727371497603,0.15778546937589452,0.0,0.10875727841415243,0.07731630402558173,0.10840311942940363,0.0,0.12772500006675616,0.0,0.0480502305648175,0.1420499385337511,0.0,0.08665452257763069,0.0,0.0,0.17631945376274966,0.0,0.24768596202145102,0.0,0.3092802487381356,0.18031818890694104,0.0,0.0,0.0,0.0,0.0,0.0,0.9380135743230316,0.8449543690429392,0.8637398231451855,0.8446814466322976,0.8451378837645689,0.0,0.0,0.0,0.7831433406239222,0.7805330824426852,0.130534964311384,0.13251347742047484,0.0,0.0,0.0,0.0,0.0,0.06255033067641595,0.0,0.1925147210969401,0.17519402698175984,0.14572672981433601,0.10179991654921565,0.13116795032216325,0.1354570658377856,0.36892479131265815,0.22473194715926018,0.0,0.28760791975733707,0.0,0.09875031083000821,0.0
G_avg_education_collegeor_above,0.764401804049544,0.5084640876275227,0.0,0.0,0.11025498990177741,0.872565823510684,0.906814593219412,1.0,0.9880383271620129,0.9497868121049325,0.8911595163526467,0.8843185760113812,0.9095512063659722,0.8560426715953161,0.9195700480287902,0.9009959097705194,0.953637200627456,0.8511728229096447,0.8832835652906581,0.9403743512106234,0.9488875379488347,0.8436073706920764,0.9179059839306304,0.7616305756310854,0.7929227164054039,0.9222647210148543,0.8412185619793061,0.8017995356493783,0.9356435018786303,0.8543161150188927,0.7525930332482171,0.7361381669485059,0.36512770110118153,0.296793481292259,0.21143855666622308,0.1821353537429976,0.14763316953143155,0.0,0.23183491542024687,0.09461954423389482,0.0,0.1005038665224372,0.22974233320332232,0.0,0.0,0.0,0.06422391074712215,0.16438020799908856,0.17142834041798222,0.011151204362421136,0.0,0.0,0.23077598511586528,0.15264623104811306,0.10964453406098543,0.25711043596876915,0.0,0.0496955300977241,0.08592446498056716,0.1483002727203238,0.11023961212005504,0.0,0.17138542878696406,0.0,0.1451024403393146,0.07623002293022532,0.13045852466671168,0.0,0.21629361328297808,0.26199180303406205,0.09654119580845229,0.22616802319480578,0.1907663071935115,0.33255098947010236,0.0,0.20710334478782727,0.949787480865074,0.8560888961739113,0.8543083464876837,0.8435951773342245,0.8512797751338912,0.0,0.0,0.0,0.752598688819827,0.7514362006877766,0.058848450324786354,0.0,0.0,0.0,0.0,0.0580909630538029,0.17477625468173494,0.23432311353073593,0.03748454754980777,0.0,0.0,0.0,0.0,0.10727227978031305,0.11138894544879342,0.3548333118992369,0.20871382746219835,0.042485378443124375,0.035437588734253594,0.12819932301227505,0.13222833240232096,0.0615674242980706
B_avg_education_collegeor_above,0.7490701127033863,0.5085811457891077,0.0,0.0,0.0,0.8811937991812527,0.9124743037121706,0.9880383271620129,1.0,0.9600614187787772,0.924889224259103,0.8892279728132115,0.9246310241549602,0.8527814316024868,0.8687300959130917,0.8927491646735227,0.961383486779233,0.811142071962913,0.8878498123768795,0.9243918495745503,0.9691172209998803,0.8635324607192594,0.8866334416042035,0.7836220091130432,0.8363085378667477,0.9410616048034053,0.7795706314422265,0.81453504687731,0.9422220400702872,0.8270852254592156,0.7487873529450993,0.7691074574042968,0.41889928791336806,0.30023042184308224,0.17569954985941927,0.06038660865123854,0.14922549948384753,0.0,0.0,0.0,0.08315278458610018,0.0,0.0,0.0,0.13597191923022073,0.0,0.058339009219875344,0.0,0.0,0.0,0.0,0.0,0.1677866306594563,0.18912442363475446,0.12887264278771712,0.0,0.0,0.03708257749138818,0.0,0.0,0.0,0.050764193881175236,0.0,0.0,0.17638678922724757,0.0,0.1514351189752315,0.0,0.23203978338998704,0.27685545092179065,0.07384788851063122,0.11087937553102409,0.1662102660552097,0.19888112843202987,0.11631052738028567,0.216055944104607,0.9600632883743818,0.8529508319217514,0.8271109702203414,0.8636348606160229,0.8110710881597437,0.0,0.0,0.0,0.7488012004037358,0.7484826902783531,0.0,0.0,0.0,0.0,0.0,0.058895767077738435,0.09490567260932682,0.0,0.0,0.1657696821422604,0.0,0.0,0.06838117196998134,0.04494281547567163,0.04380377692094495,0.3483784663747548,0.1694167865536059,0.0,0.0,0.0,0.0,0.0
warmth_education_collegeor_above,0.7762597575131243,0.4553392388032425,0.0,0.0,0.0,0.8739658824272005,0.9380129685738341,0.9497868121049325,0.9600614187787772,1.0,0.9053452693275877,0.8867418033384159,0.9291008605840343,0.9016364381900976,0.8968689951446188,0.9259902887710498,0.958132007051422,0.9021193428134244,0.9129432244371614,0.8944568572877633,0.9473414163476427,0.9386364202294905,0.9107739816293405,0.8064858501490773,0.8605138379832864,0.931061252896241,0.811330931632607,0.8304220378300881,0.9261668020511656,0.9191800891449793,0.739674961986912,0.769955516209776,0.4527885080314026,0.2747330557515156,0.24902126855256274,0.09853173060034684,0.0,0.0,0.0,0.0,0.0902808572333619,0.04101387048397625,0.0,0.0,0.0,0.0,0.0466128325273772,0.0,0.0,0.0,0.0,0.0,0.0,0.3009954726890496,0.0,0.1606533546051577,0.0,0.04578925406635293,0.0,0.045850792092013176,0.0,0.0,0.07431566694592918,0.07859630670062556,0.017698517474815774,0.0,0.3058664257760465,0.0,0.2990954052406465,0.21318889674547215,0.0,0.18464341941078133,0.0,0.20535731367057025,0.077324700140487,0.06815722443528077,1.0,0.9015459993495698,0.9190758954475752,0.9386360892150567,0.9020839665755386,0.0,0.0,0.0,0.7396360626138814,0.7397663597471079,0.09743960327333195,0.0,0.0,0.0,0.0,0.1427561578786221,0.0,0.1189335757093756,0.0,0.0,0.11094150340177161,0.048641380943798815,0.06662206525494745,0.0,0.0,0.41241307654150283,0.24306809880666175,0.0,0.06824769753154708,0.0,0.0,0.0
