,district,CRIME_YEAR,CRIME_QUARTER,CRIME_MONTH,avg_quantity_crime_in_dist,cameras_in_district,R_avg_education_collegeor_above,G_avg_education_collegeor_above,B_avg_education_collegeor_above,warmth_education_collegeor_above,R_avg_family_size,G_avg_family_size,B_avg_family_size,warmth_family_size,R_avg_home_value,G_avg_home_value,B_avg_home_value,warmth_home_value,R_avg_income_household_med,G_avg_income_household_med,B_avg_income_household_med,warmth_income_household_med,R_avg_race_black,G_avg_race_black,B_avg_race_black,warmth_race_black,R_avg_race_white,G_avg_race_white,B_avg_race_white,warmth_race_white,avg_R,avg_G,avg_B,R_stddev,G_stddev,B_stddev,R_median,G_median,B_median,R_q25,G_q25,B_q25,R_q75,G_q75,B_q75,brightness_avg,dark_pixel_ratio,mean_white,mean_black,mean_black_hispanic,mean_hispanic,mean_amer_indian,mean_asian,pct_age_18_24,pct_age_25_44,pct_age_45_64,pct_age_18,pct_age_65_plus,mean_M,mean_F,mean_U,pct_petit_larceny,pct_harrassment_2,pct_assault_3_related_offenses,pct_grand_larceny,pct_vehicle_and_traffic_laws,pct_felony_assault,pct_miscellaneous_penal_law,pct_dangerous_drugs,pct_other_offenses_related_to_theft,pct_grand_larceny_of_motor_vehicle,pct_robbery,pct_burglary,pct_sex_crimes,avg_quantity_crime_in_dist_lag1,avg_quantity_crime_in_dist_lag2,avg_quantity_crime_in_dist_lag0,avg_quantity_crime_in_dist_lead1,pct_change_between_crime_months,mean_M_lag1,mean_F_lag1,mean_U_lag1,mean_M_diff,mean_F_diff,mean_U_diff,mean_white_lag2,mean_black_lag2,pct_age_18_24_lag1,pct_age_18_24_lag2,pct_age_45_64_lag1,pct_age_45_64_lag2,pct_age_18_lag1,pct_age_18_lag2,warmth_education_collegeor_above_lag1,warmth_family_size_lag1,warmth_race_white_lag1,warmth_income_household_med_lag1,warmth_home_value_lag1,avg_quantity_crime_in_dist_increased,brightness_avg_lag1,brightness_avg_lag2,white_crime_ratio,black_crime_ratio,male_female_ratio,youth_crime_ratio,crime_growth,brightness_growth,crime_vs_brightness_change,crime_decline,crime_lag_1,crime_lag_3,crime_growth_rate_1,crime_growth_rate_3,crime_ma_3,crime_ma_6,date_id,date_index,youth_ratio,elderly_ratio,distress_index,pct_violent_crimes,pct_property_crimes,violent_to_property_ratio
district,1.0,0.2469009662203242,0.0,0.0,0.12582561508018064,0.7690738482319034,0.709675366539802,0.7439546587066304,0.7074579575401762,0.8160108428797643,0.7502634139822917,0.6903047733967098,0.5469751712498057,0.6694741512518431,0.7504429894996131,0.6849457031600455,0.7483579083191987,0.8470161616658867,0.7024776836966831,0.7635650305109773,0.7265413014029896,0.6871130490999812,0.7037058721675462,0.5608472334390766,0.6709884399011691,0.7220649048161574,0.786040840904631,0.764008532837585,0.7493940327665437,0.8559912177224149,0.7473085672639631,0.5831122359036526,0.6439194293507744,0.7832824670111949,0.796251120208354,0.6290975155938088,0.798879216401083,0.5820419866087461,0.5264514817720181,0.775497041415127,0.7058053445177965,0.663431929553491,0.5575294740884428,0.633305218216925,0.5465765589043986,0.580590700910016,0.8693310847983031,0.38443851732649265,0.3311014934066967,0.34862136133736416,0.35249075939711166,0.09584706765272576,0.4279637381046757,0.0,0.0,0.0,0.15330660614480357,0.0,0.0,0.09735547513007627,0.2093967859777687,0.180250062822909,0.0977338600194341,0.0,0.21848471346867662,0.07217078417268556,0.0,0.05110871439665239,0.16646709724535913,0.08121838230543697,0.10320460715564599,0.16840680548572773,0.0,0.0,0.12934416971916476,0.23772830255608968,0.12585057461592647,0.0,0.0,0.05952306199496168,0.10495049358393274,0.18246224610814485,0.0,0.15026916129750567,0.0,0.3326816144064211,0.2835172118461934,0.08348447273266138,0.11088142233169919,0.0,0.0,0.22065899058957075,0.2623799767895489,0.8150458664058012,0.6685322605221038,0.8555244720681199,0.6858367784787269,0.8371057183270827,0.0,0.5774071814574272,0.5735836089847903,0.28582369013674186,0.28826871136541443,0.18606890217479372,0.16252864284979668,0.0,0.12862527089600248,0.0,0.0,0.12934204125425472,0.3007641675386342,0.0,0.09308678788869636,0.2044731648866053,0.08726012073508584,0.0,0.0,0.06730846908357793,0.0,0.31373419752637033,0.0,0.21454625590906148,0.11611758174263334
CRIME_YEAR,0.2469009662203242,1.0,0.0,0.0,0.2557846060741053,0.45176883771196874,0.5563240032189134,0.32454854803680133,0.5711998218971848,0.498475294474981,0.5042734722718413,0.6950113553984529,0.3900812676674908,0.513921366241669,0.48727886024316314,0.5789708459830328,0.5636549731325874,0.5886421492091184,0.5636547352376807,0.4471050274954869,0.5636550548118602,0.43670635070236385,0.49281198015775374,0.39056936452587565,0.3905702100027439,0.5102132073341672,0.41449581074660924,0.3465655013325485,0.316524066367785,0.5213831244034276,0.44710595256210933,0.3114447624291283,0.38609002436029066,0.2732150104614602,0.32454874105032216,0.40498913161031025,0.45652736185990705,0.45497547019860235,0.21633930733306167,0.36611441268980505,0.5225408729104913,0.32454840697167453,0.3732825748256802,0.4872791327465149,0.5226273606085725,0.34306062908785584,0.4735194825277822,0.05716762402171556,0.34728582987657663,0.0,0.04900956781455875,0.0,0.0,0.0,0.06559814647547298,0.0,0.0,0.0,0.2728481427645891,0.0,0.14590189975112985,0.0,0.0,0.0,0.03899408387838381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22695509422300705,0.2658545093692183,0.2557891208786594,0.21497840172672494,0.3489286649778384,0.20936889332267453,0.0,0.09033161127053797,0.3074632018516963,0.0,0.13179083490241522,0.0,0.22904112955935577,0.0,0.0,0.0,0.0,0.0,0.0,0.48671380158205774,0.500017600455898,0.5106565761425911,0.4259126456762145,0.5754930298004239,0.13125886109505125,0.3351281898884734,0.3254239557577179,0.0,0.3083663914488114,0.2503032728780507,0.0,0.046779241644439445,0.0,0.1630841123868084,0.04677927321878497,0.22695486291627745,0.29439964408704916,0.22220402703778502,0.29159538504272475,0.7067709541792914,1.0,0.0,0.9965465170260908,0.0,0.0,0.341793611368852,0.17529857729029558,0.13149053255721457,0.09117277088671746
CRIME_QUARTER,0.0,0.0,1.0,1.0,0.6233937308226345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42471489007088514,0.43135474080250713,0.34703818329911423,0.45618041692075145,0.06426836348622529,0.4491179967114288,0.41447900053179215,0.520078506656857,0.5211265769766454,0.32414829981274057,0.0,0.4844402523649537,0.5151312475294393,0.45156683209089243,0.4969072181068139,0.5194000407330542,0.4461371037233783,0.48987993469028845,0.10128417839725957,0.3586862961147045,0.2734000739379837,0.01090765265221568,0.04801099484864814,0.2923448426635806,0.28694522867657535,0.5042730061195261,0.4541520519489009,0.5302273652920801,0.5673698806115597,0.6234135939319192,0.7021852895853126,0.4637501505443531,0.42759143006997735,0.3291138019006227,0.3739769073296823,0.3158031762180274,0.34621756392503766,0.3596178593778504,0.23508550395197636,0.2600559939956995,0.1570283411967878,0.08560800784856093,0.5030544877234051,0.17943525521687415,0.2289722050332672,0.20295611545795864,0.0,0.0,0.0,0.0,0.0,0.7137970285859043,0.0,0.0,0.3734850418427558,0.41219326232154263,0.45738131843678215,0.26182880785700074,0.5841164778853178,0.06778655762214747,0.5297838625503579,0.5841190021364602,0.5302364046974859,0.3180758334049736,0.3931884400836967,0.546873994826493,0.6464826832066529,0.5547210075371045,1.0,0.9843682766135085,0.3132061016658921,0.0954084102255347,0.6609636639043454,0.5233481710560489,0.39791615696389826,0.3364540746587391
CRIME_MONTH,0.0,0.0,1.0,1.0,0.6103397671063734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4385516736865205,0.456130088768051,0.30097076286012564,0.5261332363068961,0.0,0.4874677625363177,0.3959854837042355,0.5938996479423955,0.6135737825057446,0.3444561350149086,0.0,0.5452428793789285,0.4461594453369964,0.4797725930143621,0.5240430153842733,0.46265159459602045,0.40753118747596623,0.5328101237977301,0.1846338164742495,0.3828551253862015,0.263840908595249,0.0,0.0,0.2806162232805608,0.2016477815079542,0.3795199274036115,0.5140363673319925,0.5117587436487935,0.3636749860243231,0.6101985281819983,0.7042077684857508,0.5836744651139675,0.4866135117535643,0.29974911589477204,0.37178550918847125,0.3948382181220666,0.36077025304539706,0.43977854200955285,0.10845835205304367,0.1970918035986029,0.26277250741831454,0.09647630527598411,0.3204946914056485,0.17988427324490083,0.23756078630332428,0.12032287916470794,0.0,0.0,0.0,0.0,0.0,0.6689945155694026,0.0,0.0,0.3264471885454499,0.5074231840436584,0.5098685007771895,0.28324953914273193,0.6707755801255028,0.0,0.6336221101201175,0.670780459163528,0.5119223563206423,0.22475328261937166,0.7030639913961224,0.6469544492938571,0.7102151114773152,0.5381967754626417,1.0,0.9802063122012074,0.3861508861877376,0.0,0.7509743479097241,0.5879532866583838,0.44304966398601014,0.3480603544516273
avg_quantity_crime_in_dist,0.12582561508018064,0.2557846060741053,0.6233937308226345,0.6103397671063734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0786826226848429,0.0,0.0,0.0,0.0,0.0,0.0956390161093289,0.12414593853034683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06886716623293013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11001337181480277,0.16916888662291704,0.0,0.0,0.6123264628818427,0.6344603317908848,0.6547437004544545,0.6795641229720865,0.09287703115344204,0.5971642627336138,0.7260074443767143,0.6773421777418043,0.6466561218570078,0.561415633524413,0.30642192652846933,0.7074588733205365,0.8065490233798269,0.6938422135214463,0.6449506246303569,0.7836832277500886,0.7358403680587028,0.6904244405850987,0.42444950006285914,0.5586744537894265,0.5148458751976177,0.17030897168389336,0.21632574328792187,0.4560520922068418,0.35119860398237984,0.518438648558566,0.5779933780531721,0.7121587797365967,0.43209491668736716,1.0,0.5549688264224703,0.4679291736589328,0.368707740552824,0.5436202653208497,0.32620884383576354,0.38942805447819384,0.47662817278313646,0.437920593655279,0.4282347625968316,0.33905433207657776,0.2818289468770117,0.24104637531154313,0.46350049860774806,0.24211393831615435,0.12421537165673399,0.1887229757633971,0.0,0.0,0.0,0.0,0.0,0.6344807723434317,0.0,0.0,0.7653758714533851,0.6804883635095249,0.622907472149379,0.7063338906963572,0.7467796958012054,0.14801368288243894,0.7402912526115155,0.7467350104306331,0.7121577867578927,0.2621046439988744,0.6409367764062985,0.683576381132914,0.8053367201166689,0.8761862477753013,0.7477538788839307,0.7043053395403843,0.46365903575452166,0.2934821097149469,0.9447749637615221,0.6609990698142235,0.6979789958481489,0.4695105999601025
cameras_in_district,0.7690738482319034,0.45176883771196874,0.0,0.0,0.0,1.0,0.8604621887013043,0.8810738277426433,0.8807843084589296,0.8699813820553433,0.8864926285076206,0.8774676533563839,0.8876453824796422,0.7118012537720194,0.8402095914857739,0.8895781020748168,0.8686924655990663,0.7548863869551097,0.8948986479031654,0.857746524463984,0.8929463167867894,0.7363059492966407,0.8766883154732449,0.7418685170797477,0.7471506335154026,0.8659998632476236,0.7115937250831622,0.7443359155117482,0.8510783441483571,0.696975567112539,0.8588707056599026,0.7541207647256728,0.7445691618289737,0.855686518782596,0.8381501508477723,0.8605015001206621,0.9038257099561772,0.7506766245213737,0.7680293960217476,0.8951430663090397,0.8695701659340612,0.8957600979812738,0.7022124588824503,0.8783595638108689,0.7792781276095367,0.7680171496050988,0.7273864671270971,0.28836009199707263,0.37728938651193605,0.156970176544276,0.2945302723498523,0.17276368113658278,0.23985801989594163,0.021212347916731444,0.050382724505474916,0.2210776264117004,0.07397311301625244,0.0,0.23030172603239513,0.06549215858958993,0.19019024697741288,0.22872499259464762,0.13784666090874614,0.0,0.21464484491245087,0.10978978248169859,0.0,0.069984322103956,0.0,0.0,0.0,0.16259544444140858,0.15151429228432872,0.0,0.0,0.05509706438612695,0.0,0.0,0.0,0.27461917485382953,0.011672837321711435,0.0,0.26321944983590634,0.0,0.0,0.19155721316960433,0.26328988061246317,0.1044690293960018,0.03810716453030971,0.18857507112328112,0.16884230855761032,0.0,0.0,0.8693731480483694,0.7112528740549126,0.695852605224729,0.7357557042300109,0.7424462478067032,0.0,0.7672466806578746,0.766406084688246,0.19434345249670998,0.332991056777188,0.16007557858362167,0.0,0.0,0.18061626201061345,0.0,0.0,0.0,0.12062969751993387,0.0,0.0,0.2275252466211042,0.19423001332192602,0.0,0.0,0.0,0.0,0.21526274948086496,0.0,0.2137224999394219,0.09246457999869422
R_avg_education_collegeor_above,0.709675366539802,0.5563240032189134,0.0,0.0,0.0,0.8604621887013043,1.0,0.911307595067597,0.9067487820870714,0.9219984363319171,0.9041725084859977,0.8955959045973433,0.948975718991806,0.8460412108878743,0.8737187620086757,0.937540389353454,0.8973109661321108,0.8545897660918431,0.9560826603695912,0.8992934221826969,0.9013168548534803,0.8525496085416083,0.9035909356211795,0.8352660162464931,0.8561023790144298,0.9421928239122304,0.7350161703083989,0.8589926954500154,0.9173217884866005,0.8748689713735484,0.852570280935925,0.7452113006028674,0.7448453825628368,0.9016978501365366,0.8984970151024749,0.8369425347823105,0.8590596553625774,0.7558228567404974,0.7213464205289587,0.8529726858821375,0.8799552716976515,0.8594164092421845,0.7137397498267231,0.8367441911252704,0.7563005642202224,0.7592274727339998,0.7156554484702556,0.476184899344456,0.25693383960153593,0.0,0.3527069134739183,0.14413014989323364,0.17124899630618712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22155473116127236,0.0,0.08368672563508889,0.0,0.0,0.1502984892926246,0.027970351369503092,0.17454068033919215,0.09041760798209991,0.08871040749028143,0.0,0.0,0.1655062687718477,0.0,0.0,0.0,0.0,0.0,0.16550462379278438,0.0,0.0,0.10374458929185704,0.0,0.0,0.10069936379148359,0.30733341600906094,0.12130967383367587,0.0,0.0,0.1041187335206925,0.16077074713535733,0.0,0.0,0.9217007198515813,0.8459432512349392,0.8744292651550111,0.852180945404801,0.8614697404665838,0.0,0.7579675727403196,0.7563184207956405,0.2791502530178511,0.08885516547433278,0.14812925326118004,0.0,0.0,0.21440145177456946,0.0,0.0,0.0,0.0,0.16550458663509748,0.21720609163254379,0.15012145852604775,0.34565234186513577,0.0,0.15692169129937145,0.10151100508727672,0.0,0.37138166388198185,0.0,0.2558300949487768,0.0
G_avg_education_collegeor_above,0.7439546587066304,0.32454854803680133,0.0,0.0,0.0,0.8810738277426433,0.911307595067597,1.0,0.9829641998359969,0.9486794970539659,0.8926512830486313,0.8839265382343452,0.9031354578842055,0.8560918083013908,0.9244940979824711,0.8970530070038875,0.9575066501596816,0.8477479101253086,0.8867239786216765,0.9368916160329885,0.9494427377463854,0.8357789340775815,0.9192298764085194,0.803553677039461,0.8194619360909865,0.9258866972274601,0.8399729170996019,0.802631502315727,0.936440353220679,0.8534609984164672,0.8718678761674366,0.7333415524597071,0.7303161145955175,0.8815649273221928,0.875232914539721,0.8921644507919787,0.865747590085128,0.7286548006962247,0.7369612318237012,0.8675208552456293,0.8583692058982507,0.8444095019482565,0.7806205926830765,0.8975364469167795,0.7388629965941484,0.7619599996251328,0.7171637897188035,0.42200418266958617,0.4396154769293726,0.045449179870730265,0.3222133051541585,0.1847048414929631,0.263898092946732,0.23694483789463122,0.12066560927612045,0.2627942081465107,0.0,0.0,0.16327098468287693,0.0,0.0,0.0,0.13797143884408947,0.00630715981432191,0.16710277421812667,0.3015473909283045,0.0,0.16642383774195219,0.0809798473536167,0.0,0.0,0.18985523126880055,0.0,0.16233790064016848,0.0,0.0,0.0,0.0,0.0,0.1977190439128533,0.0,0.0,0.15022866219481543,0.0,0.0,0.2683633903198037,0.26420288073928866,0.15874847233963424,0.10461147493341583,0.16812689312286547,0.24130615787215254,0.0,0.0,0.9484396515830923,0.8555710117148807,0.8533847479708813,0.8353954227304955,0.8432665582849302,0.0,0.7605944459993743,0.7588388738097551,0.22881407943807813,0.4054759987978738,0.1908014899300467,0.12186018918986465,0.2535341591815299,0.0785341554808543,0.0,0.253534093873603,0.0,0.10608190210618389,0.0,0.0,0.0,0.2530773699199881,0.0,0.0,0.0,0.0,0.2901511401680277,0.0,0.22966961183161944,0.2324834129987203
B_avg_education_collegeor_above,0.7074579575401762,0.5711998218971848,0.0,0.0,0.0,0.8807843084589296,0.9067487820870714,0.9829641998359969,1.0,0.951896403060421,0.9211033418232115,0.8817260643276631,0.9159049421462082,0.8626645080401426,0.8972611862236076,0.8866030975815258,0.9602222751868824,0.8155240795606019,0.888900179443243,0.9195706693755553,0.9641299576715818,0.8628145402655067,0.881560636468441,0.8383400689255818,0.8299303830333322,0.9461768104481815,0.7837561287376169,0.8335515139936172,0.9548756087935668,0.8374392058106548,0.8799455679510785,0.6865275108158648,0.7525363125468517,0.8140883268541466,0.8781688989296268,0.8651042266489654,0.875109740480917,0.7557539845446033,0.804441649664894,0.8679096871735352,0.8628464579572667,0.8818401927055334,0.842020746776349,0.887337008474123,0.730205397668803,0.7453104785929524,0.7271458363043447,0.4276440375734357,0.44122699358133155,0.0,0.3352171376908344,0.0,0.0,0.15248799715041658,0.05870753900422653,0.12025153231055478,0.0,0.0,0.0,0.0,0.08262500718118476,0.0,0.15989979842850197,0.16642827631494553,0.05256785199649374,0.0,0.05746015947281825,0.15962895783746547,0.029070244053490308,0.15774620795325547,0.10557231144011789,0.12222397282967867,0.0,0.1391587793268617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1965557953300749,0.182077567324321,0.0,0.0,0.2664874346715435,0.29207947514459376,0.0,0.18402345172836596,0.13762881662105728,0.3327034869433775,0.0,0.0,0.9516958333071941,0.8625780112366458,0.837569512278474,0.8623676065140097,0.8201358366702981,0.0,0.7443003643332631,0.7429860398535932,0.18044712082324235,0.38080279947424045,0.22176307585216165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1399520547043066,0.3087626680924296,0.0,0.17964890765552244,0.0,0.0,0.20299446857983316,0.0699109149630605,0.238528447309037,0.05319698615842858
warmth_education_collegeor_above,0.8160108428797643,0.498475294474981,0.0,0.0,0.0,0.8699813820553433,0.9219984363319171,0.9486794970539659,0.951896403060421,1.0,0.898577373100073,0.8824871643655113,0.9264856538866134,0.8731732032767616,0.9129195521951354,0.9174162738221183,0.9526211151855541,0.8811208654509293,0.9068071568509951,0.902698410067718,0.9542886329494716,0.9178407767863529,0.9077223700829742,0.837061642133981,0.8582341239919208,0.9306693936276358,0.7973594713836717,0.8166897156155518,0.9225047978397978,0.903045857904272,0.8751878520126174,0.7235369530483378,0.7037860598770443,0.8894936199986321,0.9086244016433648,0.8890613364549924,0.8793832611682518,0.7601109670742451,0.7371468933404135,0.8859618597398679,0.896763575839713,0.904288443272168,0.6836934282041451,0.8899749826018606,0.7288442018584202,0.711624845810604,0.7863455645883523,0.4927021247475152,0.38525235910836525,0.16392822885727953,0.3693764732395217,0.0,0.0,0.21006226830634755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021876258167322662,0.23345421109473166,0.0,0.0,0.08304216598668503,0.20031439250792077,0.0,0.11324773281203471,0.04163016236123716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12540153271715182,0.0,0.0,0.0,0.33079031026889266,0.21913715850818966,0.11850323801783519,0.18907206430191195,0.0,0.0,0.10595731841522892,0.13329752993271077,1.0,0.8727719614937042,0.9026694348558428,0.9174549911630178,0.8786098143823424,0.0,0.7097964906125133,0.707610709209461,0.2923418230281755,0.3445525743874614,0.1940024957008209,0.13162993688188043,0.19513975007389173,0.0,0.0,0.1951396591317624,0.0,0.08795065121709311,0.0,0.0,0.2643802279696493,0.3018994067599259,0.0,0.0,0.1985215883075324,0.0,0.37245318572159036,0.1828305798880357,0.09127339910130867,0.18888123067213536
