,district,CRIME_YEAR,CRIME_QUARTER,CRIME_MONTH,avg_quantity_crime_in_dist,cameras_in_district,warmth_education_collegeor_above,warmth_family_size,warmth_home_value,warmth_income_household_med,warmth_race_black,warmth_race_white,mean_white,mean_black,mean_hispanic,mean_amer_indian,mean_asian,pct_age_18_24,pct_age_25_44,pct_age_45_64,pct_age_18,pct_age_65_plus,mean_M,mean_F,mean_U,pct_petit_larceny,pct_harrassment_2,pct_assault_3_related_offenses,pct_grand_larceny,pct_vehicle_and_traffic_laws,pct_felony_assault,pct_miscellaneous_penal_law,pct_dangerous_drugs,pct_other_offenses_related_to_theft,pct_grand_larceny_of_motor_vehicle,pct_robbery,pct_burglary,pct_sex_crimes,avg_quantity_crime_in_dist_lag1,avg_quantity_crime_in_dist_lag2,avg_quantity_crime_in_dist_lag0,pct_change_between_crime_months,mean_M_lag1,mean_F_lag1,mean_U_lag1,mean_M_diff,mean_F_diff,mean_U_diff,mean_white_lag2,mean_black_lag2,pct_age_18_24_lag1,pct_age_18_24_lag2,pct_age_45_64_lag1,pct_age_45_64_lag2,pct_age_18_lag1,pct_age_18_lag2,warmth_education_collegeor_above_lag1,warmth_family_size_lag1,warmth_race_white_lag1,warmth_income_household_med_lag1,warmth_home_value_lag1,avg_quantity_crime_in_dist_increased,mean_M_increased,mean_F_increased,pct_petit_larceny_lag1,pct_petit_larceny_lag2,pct_grand_larceny_lag1,pct_grand_larceny_lag2,pct_burglary_lag2,pct_sex_crimes_lag1,pct_sex_crimes_lag2,pct_robbery_lag1,pct_robbery_lag2,pct_assault_3_related_offenses_lag1,pct_assault_3_related_offenses_lag2,pct_felony_assault_lag1,pct_felony_assault_lag2,pct_vehicle_and_traffic_laws_lag1,pct_vehicle_and_traffic_laws_lag2,white_crime_ratio,black_crime_ratio,male_female_ratio,youth_crime_ratio,crime_growth,crime_decline
district,1.0,0.22308943974473572,0.0,0.0,0.040018245010934,0.6835381225754759,0.6856397845979184,0.6926986182703747,0.7185071227750737,0.709093481847962,0.6583419299686497,0.6338966630988003,0.27135607415942714,0.25069266010436997,0.28897912808900855,0.033632433921306444,0.2761395254277021,0.12218591651910933,0.0,0.0,0.07842243163101485,0.0,0.0,0.0,0.23451700578465773,0.09344294730059709,0.10237367488502708,0.09646356108264334,0.15694528708007133,0.07761398052336413,0.0,0.0,0.0,0.21743199855748413,0.17526058906571235,0.06344000898415035,0.0,0.0,0.087483022351604,0.06526340443243173,0.04001839275412162,0.0,0.0,0.0890115653560792,0.2285197784482401,0.0,0.0,0.012199480140335115,0.24898675486036131,0.21788977181458943,0.10099035686798803,0.09240446766012657,0.0,0.05670847904861631,0.16077698841070232,0.18139162394444203,0.6843245541505968,0.6915981534179307,0.6329292494817096,0.7076199289786917,0.7105878017962097,0.0,0.0,0.0,0.10649844398658165,0.1116262105613997,0.19212475273641158,0.15585142487558748,0.0,0.07937952749833427,0.1188925486152845,0.0,0.01771232498200575,0.0,0.0,0.0,0.0,0.0,0.0,0.23807955459464655,0.1821946301438522,0.10722941612866997,0.22675052275902208,0.0,0.0
CRIME_YEAR,0.22308943974473572,1.0,0.0,0.0,0.2289077541352582,0.3098673209761091,0.37673379505179755,0.6717547674754791,0.36429161773967,0.41676406110669006,0.3972738739878015,0.4118400161470849,0.06468663268881947,0.28808810976994037,0.0,0.0,0.0,0.0,0.07390221905103879,0.0,0.0,0.0,0.24126911109477286,0.0,0.1510269972456221,0.01792216904254793,0.0,0.0,0.0719280661538488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20458627654598488,0.17648356905215656,0.22890738630371088,0.20568651212287462,0.18829843127439858,0.0,0.11268400017406814,0.28751632442541325,0.0,0.12995252630430804,0.0,0.22276775529012552,0.0,0.0,0.0,0.0,0.0,0.0,0.36794136316484216,0.655217561580433,0.4054223943505294,0.40793723144228133,0.3578458465801591,0.11466952907895217,0.0,0.08315872540792278,0.0,0.0,0.0,0.0,0.0,0.031934580051547694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26494916453847633,0.2230195617259553,0.0,0.06881263362770128,0.06881255614725428
CRIME_QUARTER,0.0,0.0,1.0,1.0,0.6347449908545922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4367781618207992,0.4310271001461911,0.4724523208743744,0.11958815683373417,0.5168365282929519,0.4557270242268133,0.5348188002905356,0.5367395411829559,0.27744588218639044,0.19468270636227167,0.4965411345862932,0.5558996767432199,0.43913314032599754,0.47882478513245474,0.5347050069744534,0.4535682754249043,0.45145522500689084,0.26743421517791144,0.5422739883241673,0.26594798051905866,0.10028205469705967,0.0652983809075382,0.31807545179477653,0.14307475012017606,0.26172383706229724,0.4401785117091132,0.5348654101444258,0.43436102671394305,0.6347351375184541,0.4487956518583428,0.437469969681092,0.3554328810193941,0.40984780434557594,0.3518651597411033,0.3506253745022429,0.3902545153363222,0.3116982090699582,0.2710115282411583,0.2481108728016396,0.09332982828462619,0.5230267907966417,0.20862066446200134,0.20993107786903126,0.16712012404375137,0.0,0.0,0.0,0.0,0.0,0.7011667596194424,0.20129211125961607,0.39535830793625065,0.45251522561493984,0.3534334893447062,0.3763421478642777,0.29280673901668364,0.018225389705461826,0.23938541718498588,0.11893661033008325,0.08025580478576064,0.08388768283086238,0.27079690164035897,0.15764441700512422,0.3228878555729083,0.023114272090235817,0.11003852213103306,0.14621804954774156,0.42364139620174884,0.39658744715563,0.46580559490679474,0.31042694487490013,0.5577117598801898,0.5576653804923977
CRIME_MONTH,0.0,0.0,1.0,1.0,0.6312173849908369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48216729002462533,0.4620668753619247,0.5219082539631265,0.0,0.5487676863848852,0.43595715194698464,0.6073827260633669,0.6187403797149874,0.28709367898325283,0.10748076919630793,0.5426347550394721,0.6013688220453468,0.4761576244794222,0.5237916758128845,0.5919392722769568,0.42186818607880433,0.4823474613121102,0.18454283401355448,0.4042330087114916,0.2766902037410785,0.0,0.0,0.31442423610861225,0.25492571802919994,0.465208569709066,0.5173513628736353,0.5201434032112108,0.4055704752388197,0.631173146734232,0.5730776386977492,0.4896114493752572,0.34676338807152396,0.4310311929013111,0.4136661870402883,0.3991730762038232,0.447787080788429,0.29327890894967074,0.28164080955875664,0.2628662563150623,0.15255115471548733,0.35141891800027414,0.2164068722003147,0.21407658117695733,0.10949196336854318,0.0,0.0,0.0,0.0,0.0,0.6777161148694705,0.32719630086175494,0.36193215133649614,0.4875579241105013,0.2742912661338214,0.4062692299975468,0.23968887000358507,0.09141717948299455,0.22307525041513268,0.0727307229491229,0.0,0.0,0.2658376819546767,0.20884685039826067,0.23944739240393387,0.0,0.15014519268898519,0.0,0.4886468460986285,0.45854767397453394,0.5292652869755231,0.3777370854026256,0.652195667771317,0.6522005623066877
avg_quantity_crime_in_dist,0.040018245010934,0.2289077541352582,0.6347449908545922,0.6312173849908369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043289048223761284,0.6075186577242574,0.5705198409957525,0.679224898653712,0.21017595294527128,0.5740554250472809,0.7631297429429654,0.6740284363190017,0.6812448566302183,0.500954323754785,0.31586663473868554,0.663447034349999,0.6681174882879649,0.6319768442992013,0.6215204364974899,0.6798367279672508,0.7665935035401032,0.6354288048753044,0.34889924937008626,0.6007346723656721,0.49538755858677147,0.28709024153118945,0.3592719242346052,0.509266829640826,0.3976158784480724,0.5385529767571499,0.5873857831773984,0.7456108286509368,0.6108268760308154,1.0,0.45874727016160616,0.3753011414478406,0.5717093591256434,0.3437914579063071,0.38193043491278655,0.4643252925058154,0.41422909071528385,0.3308114078189892,0.31355929585831005,0.4215974945854892,0.32936742955608206,0.46127015385249437,0.30667711442191564,0.12447857779508949,0.1295217238787477,0.0,0.0,0.0,0.0,0.0,0.61823558890548,0.10793461665148527,0.28833807082113994,0.40276230425764215,0.4281039946496663,0.33203547700346725,0.3230852958666977,0.06469006518340684,0.3909204314337343,0.1683633391019072,0.07788152641709258,0.0,0.3421053277768054,0.35164708961095675,0.406551429158985,0.14922119439891868,0.0,0.0,0.6382495533919758,0.6246699433070516,0.6193009185294744,0.5471741674980077,0.7413204037056723,0.7412137938996571
cameras_in_district,0.6835381225754759,0.3098673209761091,0.0,0.0,0.0,1.0,0.8382145198578369,0.8272111868608011,0.6833187349566398,0.8416446807976293,0.7731389990039096,0.6550623637713512,0.3256698184183877,0.4056264428491858,0.2871107705574689,0.05198568579579488,0.1157009965157469,0.1414655994147328,0.0,0.0,0.0,0.03715036040781406,0.05699783893584702,0.0,0.23986520588131122,0.0,0.18152324572933526,0.0,0.2724086645711824,0.0,0.0,0.08264639683556449,0.1337486204237146,0.0958787959840745,0.09753704559847311,0.1531227893377098,0.0,0.18080698020426972,0.1415670323399242,0.13738646637277888,0.0,0.0,0.06301331414181398,0.0,0.18082293215704415,0.24515820088354173,0.057445057153467004,0.0,0.24649268847965228,0.3627265072695247,0.022820733531544405,0.07500907335894777,0.0,0.09183695061811098,0.0,0.0,0.8370933683842887,0.8263528007728603,0.6533361758683998,0.8408902982921532,0.6897375885095653,0.0,0.0,0.0,0.10567761963239332,0.14295460725467687,0.2895046146198925,0.2872731462314386,0.0,0.09584277786068415,0.0,0.08429520549227242,0.08660024815643594,0.0,0.0,0.1113453639053664,0.0,0.0,0.0,0.26996745052390597,0.32116292581696343,0.0,0.14712179490543853,0.0,0.0
warmth_education_collegeor_above,0.6856397845979184,0.37673379505179755,0.0,0.0,0.0,0.8382145198578369,1.0,0.9554904270961935,0.8317876193685362,0.9845272360724315,0.9125676693257451,0.8549079050691942,0.45962107623499127,0.3602227543350858,0.2809649370776257,0.0,0.17965125055688183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2136918891906702,0.1826022936886625,0.0,0.0,0.24687139549565854,0.0,0.08195387282964849,0.0,0.1477127456458894,0.05730841496869624,0.0,0.0,0.0,0.0,0.08386682109126319,0.0964594382073834,0.0,0.0,0.0630605040796848,0.0661785925646916,0.1424800859962902,0.0,0.28237345076144293,0.0,0.40047004487388194,0.3442766954359649,0.0,0.0,0.07131920114690135,0.09446137727097184,0.08580307540981363,0.05045830711849517,1.0,0.9555077219640223,0.8546282165523512,0.9845809596444735,0.8442003620389403,0.0,0.0,0.0,0.21073605768339929,0.09964440589647196,0.2567968734612657,0.16685766291443424,0.0,0.0,0.0,0.12557098324965515,0.06591745498037796,0.0,0.0,0.0,0.0,0.0,0.0,0.3616880805234679,0.34775529661918086,0.18665561837123237,0.10720204914767856,0.0,0.0
warmth_family_size,0.6926986182703747,0.6717547674754791,0.0,0.0,0.0,0.8272111868608011,0.9554904270961935,1.0,0.831935144463564,0.9602835967784034,0.8930147953667126,0.8356908088025863,0.29407223842741376,0.35111270538933925,0.3089714902969492,0.0,0.20925819040537447,0.0,0.0,0.09552692499650077,0.0,0.17497581564340947,0.08193272143466113,0.09434234021432247,0.23417149954444763,0.0,0.0,0.0,0.1314505623296886,0.0,0.07545450774294196,0.0,0.10404685328869773,0.12148420208380434,0.02617852564855922,0.11334094139166466,0.13531431032401714,0.0,0.0,0.0,0.0,0.0,0.1261778049167855,0.06494548483337956,0.1988652450216664,0.0,0.17242466503126685,0.0,0.2943361253435901,0.32709757008588886,0.0,0.0,0.044596670165114115,0.06366333805523784,0.0,0.0,0.9555068404045035,1.0,0.8356507827255242,0.9602934421958546,0.8230432977888128,0.0,0.0,0.0,0.0,0.03611994331517862,0.1100410793708654,0.040236213682994376,0.0,0.0,0.0,0.10627953559754898,0.11186064274762994,0.0,0.0,0.12004361024708018,0.0,0.029646229878568575,0.03422694262698237,0.2757383884619999,0.37757813956258096,0.22245174452208477,0.21154425761002232,0.0,0.0
warmth_home_value,0.7185071227750737,0.36429161773967,0.0,0.0,0.0,0.6833187349566398,0.8317876193685362,0.831935144463564,1.0,0.8455855234899969,0.8146700458031535,0.9497792741725387,0.1700125252819813,0.2792230837758377,0.24238569703610868,0.24420833672757863,0.15474243871019686,0.20592858785514456,0.0,0.1218798171090954,0.0,0.1379465887229938,0.0,0.1254353743097816,0.03273789371172529,0.04566127719994694,0.0,0.10524781498924546,0.08684707136307437,0.07669676936687958,0.10838461316790082,0.03396707393952532,0.14059472028495648,0.0,0.05605537967182423,0.10587096936162563,0.1666261480749258,0.0,0.05961787353360226,0.18196862231671368,0.0,0.0,0.0,0.17270987837219612,0.0,0.0,0.0,0.0,0.16265763527954763,0.2779671229990322,0.21858988806402999,0.28038383705883874,0.13336027595772537,0.1587961906144912,0.0,0.0,0.8316481640339918,0.8318661810016761,0.9499932463002725,0.8455935624781357,0.99988011187568,0.0,0.0,0.0,0.056389316122198836,0.09359777157460393,0.09778013666982756,0.0,0.0,0.0,0.0,0.0702155311724892,0.08690848984990397,0.0861104132123069,0.18618948427290796,0.1326460461606204,0.23059223326641218,0.0,0.0,0.1489295784370314,0.3018967020759871,0.02375396673555975,0.0,0.0,0.0
warmth_income_household_med,0.709093481847962,0.41676406110669006,0.0,0.0,0.0,0.8416446807976293,0.9845272360724315,0.9602835967784034,0.8455855234899969,1.0,0.9097213537921156,0.8549163303690126,0.3707442613559248,0.4141590290384039,0.2751819007810565,0.0,0.3038081440021544,0.0,0.0,0.18700801284901622,0.06406052281196833,0.06069585277700167,0.0,0.0,0.1901296712993134,0.0,0.07466283702912299,0.0,0.18823046684573666,0.0,0.04494761969523763,0.0,0.0953680490038213,0.0,0.0,0.0,0.0,0.0,0.10523677998182263,0.09271643172235597,0.0,0.0,0.0,0.13297904346218103,0.12663912183225684,0.0,0.2588431194507483,0.0,0.35311611195336656,0.3792969667067082,0.0,0.0,0.15477550913903496,0.11384640498152292,0.0,0.0,0.9845852483704558,0.960291345568296,0.8546610025303532,1.0,0.8567041488138148,0.0,0.0,0.0,0.0,0.0,0.22050828311973916,0.18356160142468106,0.0,0.0,0.0,0.10763157665942363,0.05787522972414749,0.0,0.025471310991706842,0.0,0.0,0.0,0.0,0.30210352748080727,0.38460820547509317,0.24315113870206126,0.1775170430320143,0.0,0.0
warmth_race_black,0.6583419299686497,0.3972738739878015,0.0,0.0,0.0,0.7731389990039096,0.9125676693257451,0.8930147953667126,0.8146700458031535,0.9097213537921156,1.0,0.8680830889366605,0.2373723350437308,0.2528358344739136,0.19379801577870612,0.0,0.19678832650976533,0.0,0.0,0.09908273308482392,0.0,0.0,0.0,0.296138437281153,0.20486380727903225,0.0,0.07471465186721996,0.0,0.10599734740329576,0.0,0.0,0.07370249242750071,0.0,0.0,0.0,0.194073358520715,0.0,0.0,0.0,0.0,0.0,0.19931616580509076,0.0,0.0,0.18018024521397588,0.0,0.0,0.05909191808343798,0.17239061541522926,0.01142632594654048,0.0,0.0,0.0648114718064694,0.008616585949499538,0.025039974906738288,0.0,0.9119982333351709,0.8927636886833993,0.8678896855288322,0.9093071107298701,0.8382786443950617,0.0,0.0,0.0,0.0,0.04959950487431959,0.05842315025219386,0.0,0.0,0.0,0.0,0.1715516962846727,0.17343827761836245,0.0,0.0,0.08329874543597028,0.0,0.0,0.0,0.17987654780438309,0.24080137784005431,0.0,0.0,0.0,0.0
warmth_race_white,0.6338966630988003,0.4118400161470849,0.0,0.0,0.043289048223761284,0.6550623637713512,0.8549079050691942,0.8356908088025863,0.9497792741725387,0.8549163303690126,0.8680830889366605,1.0,0.14046198283659575,0.27467721186296273,0.26956415846093135,0.04786650348420979,0.0,0.1392739878254424,0.0,0.11672320552310393,0.06436004543873594,0.0,0.0,0.0,0.12469913627341205,0.103672676479132,0.0,0.0,0.13015230291978336,0.12349048136659162,0.0862689661883961,0.08008812917250614,0.16342492055044597,0.0928198675649307,0.0,0.05131113146787402,0.08250505479488512,0.0,0.0,0.07241495112166317,0.04326937622454453,0.0,0.0,0.07790031663313347,0.07680977498216202,0.0,0.0,0.0,0.1344202034668466,0.27225079340205904,0.06812050184911891,0.10747568110078086,0.11438607338219933,0.08551082236952418,0.0,0.0,0.8546231199527091,0.8354985268580188,1.0,0.8547495628058115,0.9592487751908422,0.0,0.0,0.0,0.01776720334690587,0.04845697041430657,0.15864885605348303,0.12491604901830283,0.0,0.0,0.0,0.12154754844828018,0.1374472065312143,0.0,0.09373390103366792,0.15160853083482737,0.1310673545127556,0.0,0.0,0.12429434151123381,0.2528729348288036,0.0,0.08557464984334397,0.12993988075427046,0.12995265410090545
mean_white,0.27135607415942714,0.06468663268881947,0.4367781618207992,0.48216729002462533,0.6075186577242574,0.3256698184183877,0.45962107623499127,0.29407223842741376,0.1700125252819813,0.3707442613559248,0.2373723350437308,0.14046198283659575,1.0,0.5752893080076723,0.5645701005908694,0.16246234923102607,0.5616420703281564,0.46327760864755696,0.5210225344385748,0.5353670021860266,0.26966306229167114,0.23940374107686466,0.5402609643128788,0.5375407670825942,0.5414394113115001,0.48797467975346576,0.6111890834207946,0.3715608205970263,0.5452302959244892,0.26619234275168274,0.376064815706327,0.31836883997716797,0.22376252238800126,0.1406522864664854,0.36876438077253465,0.3873123056306149,0.4945866062728022,0.5433034393933296,0.37657551361697805,0.19400978786845052,0.6075217352107998,0.10735975734049,0.3609028472291905,0.27730759874855576,0.3544262626436499,0.22644764137740875,0.2768946799927935,0.3201056797120105,0.4589392925353663,0.28047879975291695,0.17601296757379387,0.15137755586638757,0.2312993632901948,0.17721941995702842,0.0,0.03386552311888543,0.456664776978554,0.29676447627119285,0.1406355471331755,0.35998989664531433,0.16390032957811365,0.5028623076291676,0.0,0.18883646098861473,0.36935652995069695,0.15916346117177402,0.393716457829286,0.20623607631262325,0.0,0.2922068596613029,0.20137977559122455,0.0,0.03529117240210296,0.259465387469219,0.3251093434055225,0.2141476624200694,0.0,0.0,0.137481313373516,0.9085447328210102,0.549070274637441,0.4815493830564378,0.3844714967272033,0.47573880487101833,0.4757392370931367
